proyecto_id,empresa,pais_id,pais,provincia_id,provincia,tipo_de_proyecto,fecha_inicio
7636,10 PINES S.R.L.,ARG,Argentina,02,CABA,Tecnología e Innovación,2011-09-06
10586,2M INGENIERIA SRL,ARG,Argentina,14,Córdoba,Tecnología e Innovación,2010-07-26
6488,3 MC S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2011-06-20
6254,3 MC S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2011-09-20
9690,3 MC S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2013-03-04
6916,3 MC S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2016-02-24
13162,3 MG S.A.,ARG,Argentina,70,San Juan,Tecnología e Innovación,2013-01-10
10446,35 MM S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2010-08-11
6400,4R SOLUCIONES S.R.L.,ARG,Argentina,82,Santa Fe,Tecnología e Innovación,2013-10-11
7786,7HS S.R.L.,ARG,Argentina,02,CABA,Tecnología e Innovación,2013-07-04
7727,"8KSOFT DE CELESTE JUAN PABLO, MOYA MARIO S.H",ARG,Argentina,58,Neuquén,Tecnología e Innovación,2012-06-29
6772,@R-TECH S.R.L.,ARG,Argentina,02,CABA,Tecnología e Innovación,2014-08-22
8728,A 4 BANDAS MEDIA S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2013-02-21
6347,A&J SISTEMAS S.R.L.,ARG,Argentina,82,Santa Fe,Tecnología e Innovación,2013-02-28
11887,A. L. COMPUTACION Y SISTEMAS S.R.L.,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2006-06-05
9894,A. L. COMPUTACION Y SISTEMAS S.R.L.,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2009-09-24
6193,A. L. COMPUTACION Y SISTEMAS S.R.L.,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2010-08-03
9033,A. L. COMPUTACION Y SISTEMAS S.R.L.,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2012-11-12
12891,A.G. MATRIMAX S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2013-08-08
11231,AADEE S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2010-03-08
106,AADEE S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2011-07-26
10817,AADEE S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2014-07-24
9543,ABAKO CONSULTORES ASOCIADOS SRL,ARG,Argentina,14,Córdoba,Tecnología e Innovación,2007-02-27
6777,ABAKOS S.A.,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2014-08-25
9110,ABASTELEC S.R.L.,ARG,Argentina,02,CABA,Tecnología e Innovación,2006-11-06
6436,ABC CONSULTING SA,ARG,Argentina,02,CABA,Tecnología e Innovación,2009-07-08
6011,ABC CONSULTING SA,ARG,Argentina,02,CABA,Tecnología e Innovación,2009-12-02
8191,ABEL L. ZUBELDIA S.A.,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2008-12-17
11962,ABERTURAS SAN EDUARDO ALBERDI S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2014-09-30
11380,ABRINCO S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2014-12-16
6651,ABSTI S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2009-02-02
9781,ABSTI S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2009-09-01
6469,ABSTI S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2010-10-13
10743,ABSTI S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2013-11-01
6196,ACCEDRA SA,ARG,Argentina,02,CABA,Tecnología e Innovación,2013-09-16
10629,ACCENDO S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2011-04-08
6180,ACCENDO S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2011-05-31
8781,ACCENDO S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2013-09-11
10673,ACCESS SATELITAL SA,ARG,Argentina,14,Córdoba,Tecnología e Innovación,2010-09-09
6562,ACCESS SATELITAL SA,ARG,Argentina,14,Córdoba,Tecnología e Innovación,2010-11-30
5894,ACCION POINT S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2012-02-24
6258,ACCUSYS TECHNOLOGY S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2009-07-24
6216,ACCUSYS TECHNOLOGY S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2010-02-26
7992,ACCUSYS TECHNOLOGY S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2013-04-05
9016,ACCUSYS TECHNOLOGY S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2013-04-05
5984,ACCUSYS TECHNOLOGY S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2014-04-03
6848,ACCUSYS TECHNOLOGY S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2015-06-23
10975,ACECAR SA,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2014-11-28
12032,ACECAR SA,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2016-01-29
12089,ACERIAS 4 C S.A.,ARG,Argentina,82,Santa Fe,Tecnología e Innovación,2007-04-19
8931,ACERIAS 4 C S.A.,ARG,Argentina,82,Santa Fe,Tecnología e Innovación,2007-07-13
8105,ACERIAS 4 C S.A.,ARG,Argentina,82,Santa Fe,Tecnología e Innovación,2007-09-13
8936,ACERIAS 4 C S.A.,ARG,Argentina,82,Santa Fe,Tecnología e Innovación,2009-04-15
10478,ACERIAS 4 C S.A.,ARG,Argentina,82,Santa Fe,Tecnología e Innovación,2010-12-06
