proyecto_id,fecha_inicio,pais_id,pais,provincia_id,provincia_de_ejecución,moneda_monto_financiado,monto_financiado,moneda_monto_total,monto_total,region_de_ejecucion,gran_area_conocimiento,tipo_proyecto_cyt,tipo_organizacion_ejec
1,2014-02-24,ARG,Argentina,02,CABA,ARS, 4350000,ARS, 7250000,Pampeana,,Tecnología e Innovación,Organismo gubernamental de ciencia y tecnología
3,2015-11-18,ARG,Argentina,18,Corrientes,ARS, 19998933,ARS, 24998924,Nea,,Tecnología e Innovación,Consorcio público
3,2015-11-18,ARG,Argentina,42,La Pampa,ARS, 19998933,ARS, 24998924,Pampeana,,Tecnología e Innovación,Consorcio público
4,2015-03-27,ARG,Argentina,18,Corrientes,ARS, 2707100,ARS, 3383875,Nea,,Tecnología e Innovación,Consorcio público-privado
4,2015-03-27,ARG,Argentina,34,Formosa,ARS, 2707100,ARS, 3383875,Nea,,Tecnología e Innovación,Consorcio público-privado
5,2015-09-16,ARG,Argentina,06,Buenos Aires,ARS, 13496000,ARS, 30698640,Pampeana,,Tecnología e Innovación,Empresa
6,2015-03-11,ARG,Argentina,26,Chubut,ARS, 6135200,ARS, 7690066,Patagónica,,Tecnología e Innovación,Consorcio privado
7,2015-09-16,ARG,Argentina,90,Tucumán,ARS, 19745929,ARS, 24714673,Noa,,Tecnología e Innovación,Empresa
8,2015-06-01,ARG,Argentina,06,Buenos Aires,ARS, 40000000,ARS, 50000000,Pampeana,,Tecnología e Innovación,Universidad o instituto universitario estatal
9,2015-12-04,ARG,Argentina,14,Córdoba,ARS, 38101999,ARS, 49901505,Pampeana,,Tecnología e Innovación,Empresa
10,2015-03-27,ARG,Argentina,18,Corrientes,ARS, 6106876,ARS, 7716340,Nea,,Tecnología e Innovación,Persona física
10,2015-03-27,ARG,Argentina,34,Formosa,ARS, 6106876,ARS, 7716340,Nea,,Tecnología e Innovación,Persona física
11,2015-03-31,ARG,Argentina,06,Buenos Aires,ARS, 10006533,ARS, 12508166,Pampeana,,Tecnología e Innovación,Consorcio público-privado
12,2015-10-27,ARG,Argentina,06,Buenos Aires,ARS, 39544940,ARS, 49949891,Pampeana,,Tecnología e Innovación,Universidad o instituto universitario estatal
13,2015-10-16,ARG,Argentina,62,Río Negro,ARS, 39999900,ARS, 51425463,Patagónica,,Tecnología e Innovación,Empresa
14,2015-11-16,ARG,Argentina,62,Río Negro,ARS, 39999998,ARS, 49999998,Patagónica,,Tecnología e Innovación,Universidad o instituto universitario estatal
15,2015-09-09,ARG,Argentina,06,Buenos Aires,ARS, 14150000,ARS, 18726988,Pampeana,,Tecnología e Innovación,Empresa
16,2015-12-03,ARG,Argentina,02,CABA,ARS, 26356899,ARS, 37680899,Pampeana,,Tecnología e Innovación,Entidad administrativa de gobierno
17,2015-10-23,ARG,Argentina,50,Mendoza,ARS, 7060988,ARS, 9056084,Cuyo,,Tecnología e Innovación,Consorcio público-privado
18,2015-12-09,ARG,Argentina,30,Entre Ríos,ARS, 36523100,ARS, 46068100,Pampeana,,Tecnología e Innovación,Universidad o instituto universitario estatal
19,2015-10-01,ARG,Argentina,02,CABA,ARS, 20394968,ARS, 25800000,Pampeana,,Tecnología e Innovación,Empresa
20,2015-09-16,ARG,Argentina,90,Tucumán,ARS, 18702020,ARS, 23653236,Noa,,Tecnología e Innovación,Universidad o instituto universitario estatal
21,2015-04-28,ARG,Argentina,14,Córdoba,ARS, 11605465,ARS, 14506831,Pampeana,,Tecnología e Innovación,Consorcio público-privado
22,2015-10-23,ARG,Argentina,50,Mendoza,ARS, 31811300,ARS, 49043264,Cuyo,,Tecnología e Innovación,Universidad o instituto universitario estatal
23,2015-04-17,ARG,Argentina,06,Buenos Aires,ARS, 3989855,ARS, 4987319,Pampeana,,Tecnología e Innovación,Consorcio público-privado
23,2015-04-17,ARG,Argentina,02,CABA,ARS, 3989855,ARS, 4987319,Pampeana,,Tecnología e Innovación,Consorcio público-privado
23,2015-04-17,ARG,Argentina,50,Mendoza,ARS, 3989855,ARS, 4987319,Cuyo,,Tecnología e Innovación,Consorcio público-privado
24,2015-11-30,ARG,Argentina,94,Tierra Del Fuego,ARS, 39599200,ARS, 50082800,Patagónica,,Tecnología e Innovación,Empresa
25,2015-11-09,ARG,Argentina,06,Buenos Aires,ARS, 39957393,ARS, 50307570,Pampeana,,Tecnología e Innovación,Universidad o instituto universitario estatal
26,2015-09-03,ARG,Argentina,18,Corrientes,ARS, 2076716,ARS, 2595895,Nea,,Tecnología e Innovación,Consorcio público-privado
26,2015-09-03,ARG,Argentina,82,Santa Fe,ARS, 2076716,ARS, 2595895,Pampeana,,Tecnología e Innovación,Consorcio público-privado
27,2015-10-15,ARG,Argentina,58,Neuquén,ARS, 19609800,ARS, 24921868,Patagónica,,Tecnología e Innovación,Empresa
28,2015-07-02,ARG,Argentina,06,Buenos Aires,ARS, 19289364,ARS, 24999351,Pampeana,,Tecnología e Innovación,Consorcio privado
28,2015-07-02,ARG,Argentina,74,San Luis,ARS, 19289364,ARS, 24999351,Cuyo,,Tecnología e Innovación,Consorcio privado
29,2015-10-05,ARG,Argentina,86,Santiago Del Estero,ARS, 13802000,ARS, 17410760,Noa,,Tecnología e Innovación,Universidad o instituto universitario estatal
30,2015-05-08,ARG,Argentina,06,Buenos Aires,ARS, 6461234,ARS, 8076542,Pampeana,,Tecnología e Innovación,Consorcio público-privado
30,2015-05-08,ARG,Argentina,50,Mendoza,ARS, 6461234,ARS, 8076542,Cuyo,,Tecnología e Innovación,Consorcio público-privado
